text	help	slug
Fashion trends for ghosts	(e.g., "this season, it's all about the see-through look")	fashion-trends-for-ghosts
Fashion trends for gnomes	(e.g., "this season, it's all about the pointy hats")	fashion-trends-for-gnomes
Fashion trends for goblins	(e.g., "this season, it's all about the... rags")	fashion-trends-for-goblins
Fashion trends for mermaids	(e.g., "this season, it's all about the... tail")	fashion-trends-for-mermaids
Fashion trends for mythical creatures	(e.g., "this season, it's all about the scales")	fashion-trends-for-mythical-creatures
Fashion trends for robots	(e.g., "this season, it's all about the chrome")	fashion-trends-for-robots
Fashion trends for skeletons	(e.g., "this season, it's all about the bare bones")	fashion-trends-for-skeletons
Fashion trends for the undead	(e.g., "this season, it's all about the 'just-risen-from-the-grave' look")	fashion-trends-for-the-undead
Fashion trends for trolls	(e.g., "this season, it's all about the rags")	fashion-trends-for-trolls
Fictional board games	(e.g., "The Game of Life... but with more dragons")	fictional-board-games
Fictional board games about taxes	(e.g., "The Game of... Taxes")	fictional-board-games-about-taxes
Fictional holidays	(e.g., "National Talk Like a Pirate Day... but for real this time")	fictional-holidays
Fictional reality TV shows	(e.g., "The Real Housewives of Asgard")	fictional-reality-tv-shows
Fictional reality TV shows about aliens	(e.g., "Keeping Up with the Kardashians... but they're aliens")	fictional-reality-tv-shows-about-aliens
Fictional reality TV shows about ghosts	(e.g., "Ghost Hunters... but the ghosts are the hunters")	fictional-reality-tv-shows-about-ghosts
Fictional reality TV shows about mythical creatures	(e.g., "The Real World... but with mythical creatures")	fictional-reality-tv-shows-about-mythical-creatures
Fictional reality TV shows about time travelers	(e.g., "The Amazing Race... but through time")	fictional-reality-tv-shows-about-time-travelers
Fictional reality TV shows about vampires	(e.g., "The Bachelor... but with vampires")	fictional-reality-tv-shows-about-vampires
Fictional reality TV shows about werewolves	(e.g., "The Hills... but with werewolves")	fictional-reality-tv-shows-about-werewolves
Fictional reality TV shows about wizards	(e.g., "The Apprentice... but with wizards")	fictional-reality-tv-shows-about-wizards
Fictional self-help books	(e.g., "The Tao of Pooh")	fictional-self-help-books
Fictional self-help books for werewolves	(e.g., "How to Win Friends and Influence People... and Not Eat Them")	fictional-self-help-books-for-werewolves
Fictional sports that would be amazing to watch	(e.g., Quidditch, but with real brooms)	fictional-sports-that-would-be-amazing-to-watch
Fitness routines for people who hate exercise	(e.g., "the 'channel-surfing' marathon")	fitness-routines-for-people-who-hate-exercise
Forbidden ice cream flavors	(e.g., Wi‑Fi)	forbidden-ice-cream-flavors
Fortune cookie messages from alternate dimensions	(e.g., beware Tuesday)	fortune-cookie-messages-from-alternate-dimensions
Gourmet sandwich names	(e.g., The Suspicious Turnip)	gourmet-sandwich-names
Groups of things	(e.g., dead pigions = a killing of messengers)	groups-of-things
Haikus about bathroom emergencies	(dignified panic)	haikus-about-bathroom-emergencies
Historical events as told by a drunk person	(e.g., "so, like, this dude Caesar, right...")	historical-events-as-told-by-a-drunk-person
Historical events that would have been better with dinosaurs	(e.g., the signing of the Declaration of Independence)	historical-events-that-would-have-been-better-with-dinosaurs
Horoscopes for fictional characters	(e.g., "Harry Potter, today is a good day to avoid snakes")	horoscopes-for-fictional-characters
Horoscopes for historical landmarks	(e.g., "The Eiffel Tower, today is a good day to avoid pigeons")	horoscopes-for-historical-landmarks
Horoscopes for household appliances	(e.g., "Toaster, today is a good day to avoid bread")	horoscopes-for-household-appliances
Horoscopes for inanimate objects	(e.g., "Your lucky number is 7-watt.")	horoscopes-for-inanimate-objects
Horoscopes for inanimate objects in a bathroom	(e.g., "Toilet, today is a good day to... flush")	horoscopes-for-inanimate-objects-in-a-bathroom
Horoscopes for inanimate objects in a bedroom	(e.g., "Bed, today is a good day to... sleep")	horoscopes-for-inanimate-objects-in-a-bedroom
Horoscopes for inanimate objects in a car	(e.g., "Steering wheel, today is a good day to... drive")	horoscopes-for-inanimate-objects-in-a-car
Horoscopes for inanimate objects in a garage	(e.g., "Lawnmower, today is a good day to avoid the lawn")	horoscopes-for-inanimate-objects-in-a-garage
Horoscopes for inanimate objects in a kitchen	(e.g., "Blender, today is a good day to avoid spoons")	horoscopes-for-inanimate-objects-in-a-kitchen
Horoscopes for inanimate objects in a living room	(e.g., "Couch, today is a good day to... relax")	horoscopes-for-inanimate-objects-in-a-living-room
Horoscopes for inanimate objects in a purse	(e.g., "Lipstick, today is a good day to... be fabulous")	horoscopes-for-inanimate-objects-in-a-purse
Horoscopes for inanimate objects in a wallet	(e.g., "Credit card, today is a good day to... be swiped")	horoscopes-for-inanimate-objects-in-a-wallet
Horoscopes for mythical creatures	(e.g., "Unicorn, today is a good day to avoid pointy objects")	horoscopes-for-mythical-creatures
Horoscopes for mythical creatures in a fantasy novel	(e.g., "Dragon, today is a good day to avoid knights")	horoscopes-for-mythical-creatures-in-a-fantasy-novel
How to summon a demon to do your laundry	(e.g., "you'll need a sock, a rubber chicken, and a sense of adventure")	how-to-summon-a-demon-to-do-your-laundry
How to tell if your car is a Transformer	(e.g., "it keeps trying to talk to you")	how-to-tell-if-your-car-is-a-transformer
How to tell if your cat is a secret agent	(e.g., "it's always watching you... always")	how-to-tell-if-your-cat-is-a-secret-agent
How to tell if your dog is a secret genius	(e.g., "it keeps solving all your crossword puzzles")	how-to-tell-if-your-dog-is-a-secret-genius
How to tell if your goldfish is a secret agent	(e.g., "it's always watching you... with its one eye")	how-to-tell-if-your-goldfish-is-a-secret-agent
How to tell if your house is haunted by a friendly ghost	(e.g., "it keeps making you toast")	how-to-tell-if-your-house-is-haunted-by-a-friendly-ghost
How to tell if your pet is a secret agent	(e.g., "it keeps trying to tell you the secrets of the universe")	how-to-tell-if-your-pet-is-a-secret-agent
How to tell if your pet is a superhero	(e.g., "it keeps trying to save you from... nothing")	how-to-tell-if-your-pet-is-a-superhero
How to tell if your pet is a villain	(e.g., "it keeps trying to trip you")	how-to-tell-if-your-pet-is-a-villain
How to tell if your pet is plotting to take over the world	(e.g., "they're stockpiling kibble")	how-to-tell-if-your-pet-is-plotting-to-take-over-the-world
How to tell if your plant is a secret agent	(e.g., "it's always listening")	how-to-tell-if-your-plant-is-a-secret-agent
How to tell if your reflection is plotting against you	(e.g., "it keeps winking at you")	how-to-tell-if-your-reflection-is-plotting-against-you
How to tell if your shadow has a life of its own	(e.g., "it keeps dancing when you're not")	how-to-tell-if-your-shadow-has-a-life-of-its-own
How to tell if your toaster is possessed	(e.g., "it keeps burning everything... and whispering your name")	how-to-tell-if-your-toaster-is-possessed
If animals could talk, what would they complain about?	(e.g., "the food is always the same")	if-animals-could-talk-what-would-they-complain-about
If animals had their own social media, what would they post?	(e.g., "just chased my tail for 10 minutes, #blessed")	if-animals-had-their-own-social-media-what-would-they-post
If buildings could talk, what would they say?	(e.g., "I've seen things... things you people wouldn't believe")	if-buildings-could-talk-what-would-they-say
If clouds could talk, what would they say?	(e.g., "I'm not crying... you're crying")	if-clouds-could-talk-what-would-they-say
If flowers could talk, what would they say?	(e.g., "stop and smell the... me")	if-flowers-could-talk-what-would-they-say
If food could talk, what would it say?	(e.g., "eat me... or don't, I don't care")	if-food-could-talk-what-would-it-say
If forks could talk, what would they say?	(e.g., "I'm not a spoon... I'm a fork")	if-forks-could-talk-what-would-they-say
If furniture could talk, what would it say?	(e.g., "get off of me")	if-furniture-could-talk-what-would-it-say
If inanimate objects could talk, what would they say?	(e.g., "your socks are always mismatched")	if-inanimate-objects-could-talk-what-would-they-say
If inanimate objects had their own theme songs	(e.g., "the toaster's theme song is 'Hot, Hot, Hot'")	if-inanimate-objects-had-their-own-theme-songs
If insects had their own social media, what would they post?	(e.g., "just ate a whole leaf, #livingmybestlife")	if-insects-had-their-own-social-media-what-would-they-post
If plants could talk, what would they say?	(e.g., "I'm thirsty")	if-plants-could-talk-what-would-they-say
